filename,width,height,class,xmin,ymin,xmax,ymax
21.jpeg,1152,864,e_waste,4,210,1152,567
21.jpeg,1152,864,e_waste,174,4,1090,218
21.jpeg,1152,864,e_waste,381,63,1002,745
210.jpg,4160,3120,e_waste,1,1,4160,3120
211.jpg,4160,3120,e_waste,220,97,4139,3102
212.jpeg,1152,864,e_waste,45,171,1152,678
213.jpeg,583,1280,e_waste,1,55,583,908
213.jpeg,583,1280,paper,88,853,583,1280
214.jpeg,1280,583,e_waste,208,343,401,514
214.jpeg,1280,583,e_waste,314,1,964,583
214.jpeg,1280,583,e_waste,1,95,265,212
215.jpeg,583,1280,e_waste,1,129,583,1043
215.jpeg,583,1280,e_waste,254,19,583,208
215.jpeg,583,1280,e_waste,1,390,78,508
216.jpeg,1280,960,e_waste,99,178,1193,889
217.jpeg,1280,960,e_waste,285,24,1071,892
22.jpeg,1152,864,e_waste,154,316,1152,675
22.jpeg,1152,864,e_waste,269,3,1152,291
23.jpeg,1152,864,e_waste,99,213,1152,653
23.jpeg,1152,864,e_waste,148,1,1152,208
230.jpeg,1152,864,e_waste,85,1,998,864
230.jpeg,1152,864,e_waste,1,351,223,864
230.jpeg,1152,864,e_waste,1117,714,1152,864
230.jpeg,1152,864,plastic,1062,233,1152,424
230.jpeg,1152,864,paper,1,1,215,332
231.jpeg,1280,990,e_waste,115,7,1091,990
232.jpeg,1160,870,e_waste,1,91,1153,606
233.jpeg,780,1040,e_waste,1,13,780,1021
235.jpeg,1280,1011,e_waste,1,1,1171,1011
235.jpeg,1280,1011,e_waste,1102,778,1128,839
236.jpeg,780,1040,e_waste,1,11,780,1032
24.jpeg,864,1152,e_waste,71,2,653,1151
245.jpg,4160,2340,e_waste,1,1,3225,2295
246.jpg,4160,2340,e_waste,1,365,4116,1873
247.jpg,4160,2340,e_waste,1,1,3074,1965
248.jpg,4160,2340,e_waste,1,265,3421,1982
249.jpg,4160,2340,e_waste,1,1,3564,2340
25.jpeg,1152,864,e_waste,12,221,1152,707
25.jpeg,1152,864,e_waste,285,1,1152,228
250.jpeg,1152,864,e_waste,1,79,542,679
250.jpeg,1152,864,e_waste,587,24,1152,667
251.jpeg,1152,864,e_waste,127,1,975,864
252.jpeg,1152,864,e_waste,166,216,1125,730
252.jpeg,1152,864,e_waste,1,1,131,682
252.jpeg,1152,864,paper,915,247,1152,639
253.jpeg,1152,864,e_waste,186,210,1111,628
253.jpeg,1152,864,e_waste,1032,1,1152,633
253.jpeg,1152,864,paper,189,1,551,235
253.jpeg,1152,864,e_waste,291,1,463,162
254.jpeg,1152,864,e_waste,195,1,1073,864
254.jpeg,1152,864,e_waste,1,1,141,864
254.jpeg,1152,864,paper,974,345,1152,812
255.jpeg,1152,864,e_waste,261,13,1041,864
255.jpeg,1152,864,paper,204,128,383,447
255.jpeg,1152,864,e_waste,1048,30,1152,722
256.jpeg,1152,864,e_waste,169,1,1152,864
256.jpeg,1152,864,paper,1,563,128,864
256.jpeg,1152,864,paper,967,393,1152,691
257.jpeg,1152,864,e_waste,1,60,1152,864
258.jpeg,1152,864,e_waste,133,158,1135,685
265.jpeg,1152,864,e_waste,99,70,1094,810
266.jpeg,1152,864,e_waste,217,1,1079,864
267.jpeg,1152,864,e_waste,250,1,1048,864
268.jpeg,1152,864,e_waste,123,107,1152,632
268.jpeg,1152,864,e_waste,417,1,1152,107
269.jpeg,1280,988,e_waste,9,11,1249,971
28.jpeg,1152,864,e_waste,11,5,1112,599
29.jpeg,864,1152,e_waste,139,63,720,1120
30.jpeg,1152,864,e_waste,6,225,1152,621
30.jpeg,1152,864,e_waste,40,3,1152,234
301.jpeg,864,1152,e_waste,55,376,387,918
301.jpeg,864,1152,e_waste,430,276,818,988
302.jpeg,864,1152,e_waste,1,100,706,881
302.jpeg,864,1152,e_waste,699,618,816,807
303.jpeg,1152,864,e_waste,69,578,240,757
303.jpeg,1152,864,e_waste,232,13,1152,846
305.jpg,4608,3456,e_waste,12,2069,849,3348
305.jpg,4608,3456,e_waste,3554,1864,4085,2564
305.jpg,4608,3456,e_waste,975,511,3775,1811
305.jpg,4608,3456,e_waste,1270,6,3959,874
306.jpg,4608,2176,e_waste,782,1,3310,2176
307.jpg,4608,2176,e_waste,734,49,3849,1735
307.jpg,4608,2176,e_waste,2501,963,3025,1454
308.jpeg,1032,581,e_waste,73,186,829,493
308.jpeg,1032,581,e_waste,829,339,982,541
31.jpeg,1152,864,e_waste,4,213,1152,713
31.jpeg,1152,864,e_waste,104,703,324,864
310.jpeg,1032,581,e_waste,1,34,966,402
310.jpeg,1032,581,e_waste,114,428,292,581
311.jpeg,1032,581,e_waste,5,35,495,375
311.jpeg,1032,581,e_waste,485,40,988,393
311.jpeg,1032,581,e_waste,8,362,478,498
311.jpeg,1032,581,e_waste,485,381,963,517
311.jpeg,1032,581,e_waste,387,530,467,581
311.jpeg,1032,581,e_waste,538,523,614,581
313.jpeg,1032,581,e_waste,175,1,803,581
313.jpeg,1032,581,e_waste,787,401,1032,581
313.jpeg,1032,581,e_waste,849,195,1032,276
314.jpeg,1032,581,e_waste,157,1,865,340
314.jpeg,1032,581,e_waste,258,337,859,581
314.jpeg,1032,581,e_waste,1,17,387,581
315.jpeg,1032,581,e_waste,50,108,780,443
315.jpeg,1032,581,e_waste,802,225,917,387
321.jpeg,1152,864,e_waste,195,24,1036,645
321.jpeg,1152,864,e_waste,118,646,346,785
321.jpeg,1152,864,glass,988,583,1152,864
324.jpeg,1152,864,e_waste,171,485,974,849
324.jpeg,1152,864,e_waste,831,108,971,318
324.jpeg,1152,864,paper,128,3,583,384
324.jpeg,1152,864,paper,1,209,83,543
324.jpeg,1152,864,paper,966,62,1152,460
325.jpeg,1152,864,e_waste,162,4,935,592
325.jpeg,1152,864,e_waste,165,559,856,854
325.jpeg,1152,864,e_waste,922,588,1062,733
325.jpeg,1152,864,e_waste,950,242,1152,570
325.jpeg,1152,864,e_waste,1004,89,1152,188
325.jpeg,1152,864,paper,2,384,188,676
326.jpeg,1152,864,e_waste,192,66,973,585
326.jpeg,1152,864,e_waste,63,579,999,834
326.jpeg,1152,864,e_waste,1,144,253,677
326.jpeg,1152,864,e_waste,1,681,174,864
327.jpeg,1152,864,e_waste,36,125,869,420
327.jpeg,1152,864,e_waste,108,1,1032,118
327.jpeg,1152,864,e_waste,1006,203,1152,408
328.jpeg,1152,864,e_waste,42,233,541,609
328.jpeg,1152,864,e_waste,591,172,1141,596
328.jpeg,1152,864,e_waste,1,604,455,799
328.jpeg,1152,864,e_waste,440,567,973,735
328.jpeg,1152,864,e_waste,250,164,554,467
328.jpeg,1152,864,e_waste,744,134,1036,204
328.jpeg,1152,864,e_waste,399,558,486,645
328.jpeg,1152,864,e_waste,1011,641,1124,750
329.jpeg,1152,864,e_waste,1,358,517,572
329.jpeg,1152,864,e_waste,16,1,621,360
329.jpeg,1152,864,e_waste,512,309,1141,504
329.jpeg,1152,864,e_waste,707,1,1152,341
329.jpeg,1152,864,e_waste,461,304,550,404
330.jpeg,864,1152,e_waste,69,23,599,1093
330.jpeg,864,1152,e_waste,613,641,799,960
331.jpeg,1152,864,e_waste,227,33,867,560
331.jpeg,1152,864,e_waste,204,533,862,864
331.jpeg,1152,864,glass,732,449,890,589
331.jpeg,1152,864,e_waste,715,1,1152,253
331.jpeg,1152,864,paper,2,1,264,391
332.jpeg,1152,864,e_waste,113,384,253,591
332.jpeg,1152,864,e_waste,237,163,1152,517
332.jpeg,1152,864,e_waste,361,1,1141,176
332.jpeg,1152,864,e_waste,1,1,273,618
333.jpeg,1152,864,e_waste,2,50,998,610
333.jpeg,1152,864,e_waste,206,4,907,58
333.jpeg,1152,864,e_waste,392,741,608,864
333.jpeg,1152,864,e_waste,642,650,785,864
334.jpeg,1152,864,e_waste,329,85,929,526
334.jpeg,1152,864,e_waste,1,63,348,763
334.jpeg,1152,864,e_waste,191,618,298,758
334.jpeg,1152,864,e_waste,295,505,913,742
335.jpeg,1152,864,e_waste,1,114,928,576
335.jpeg,1152,864,e_waste,210,1,622,170
335.jpeg,1152,864,e_waste,936,267,1137,591
336.jpeg,1152,864,e_waste,148,104,910,583
336.jpeg,1152,864,e_waste,98,517,831,829
336.jpeg,1152,864,e_waste,892,682,1056,850
336.jpeg,1152,864,e_waste,581,38,1152,600
342.jpeg,1152,864,e_waste,358,8,1152,559
342.jpeg,1152,864,e_waste,1,1,366,864
342.jpeg,1152,864,e_waste,265,570,1077,864
342.jpeg,1152,864,e_waste,820,384,1135,593
342.jpeg,1152,864,e_waste,1052,747,1152,864
342.jpeg,1152,864,paper,4,1,337,218
343.jpeg,1152,864,e_waste,1,64,512,471
343.jpeg,1152,864,e_waste,649,35,1107,455
343.jpeg,1152,864,e_waste,1,418,521,638
343.jpeg,1152,864,e_waste,516,443,1049,584
343.jpeg,1152,864,e_waste,498,407,562,480
343.jpeg,1152,864,e_waste,1029,424,1152,508
343.jpeg,1152,864,e_waste,85,53,383,95
343.jpeg,1152,864,e_waste,563,29,882,383
344.jpeg,1152,864,e_waste,113,3,1061,604
344.jpeg,1152,864,e_waste,199,593,1019,854
344.jpeg,1152,864,e_waste,923,832,1016,864
344.jpeg,1152,864,paper,942,525,1152,864
345.jpeg,1152,864,e_waste,77,20,1058,635
345.jpeg,1152,864,e_waste,52,613,949,864
345.jpeg,1152,864,e_waste,911,604,1044,760
346.jpeg,366,1280,e_waste,25,1057,315,1253
346.jpeg,366,1280,e_waste,1,1,366,1047
35.jpeg,1040,780,e_waste,36,255,993,562
451.jpeg,581,1032,e_waste,86,128,533,834
452.jpeg,581,1032,e_waste,129,136,554,828
453.jpeg,581,1032,e_waste,1,1,169,211
453.jpeg,581,1032,e_waste,14,329,269,793
453.jpeg,581,1032,e_waste,277,334,525,789
454.jpeg,581,1032,e_waste,71,132,499,887
455.jpeg,780,1040,e_waste,163,353,632,1040
456.jpeg,864,1152,e_waste,80,77,681,1084
457.jpeg,870,1160,e_waste,126,138,777,1085
458.jpeg,780,1040,e_waste,79,354,424,1040
459.jpeg,864,1152,e_waste,94,1,662,1135
460.jpeg,1040,780,e_waste,165,191,999,650
464.jpeg,780,1040,e_waste,134,373,469,1013
465.jpeg,864,1152,e_waste,2,249,446,1076
465.jpeg,864,1152,e_waste,483,306,799,951
466.jpeg,780,1040,e_waste,141,248,544,1040
467.jpeg,721,1280,e_waste,133,190,574,1014
468.jpeg,680,1280,e_waste,86,41,635,1149
469.jpeg,832,1280,e_waste,164,129,675,1202
470.jpeg,864,1152,e_waste,125,130,562,1056
478.jpg,4160,2340,e_waste,14,128,4014,1119
479.jpg,4160,2340,e_waste,1,178,4160,1378
480.jpg,2340,4160,e_waste,60,480,2340,3273
481.jpg,2340,4160,e_waste,60,53,2340,3040
482.jpg,2340,4160,e_waste,173,160,2166,2693
483.jpg,4160,2340,e_waste,5,24,3510,1292
484.jpg,4160,2340,e_waste,1,28,3596,1574
491.jpeg,583,1280,e_waste,98,267,501,1014
492.jpeg,1280,720,e_waste,399,156,1217,698
493.jpeg,720,1280,e_waste,19,382,584,688
494.jpeg,720,1280,e_waste,49,439,596,739
495.jpeg,583,1280,e_waste,131,282,470,849
496.jpeg,583,1280,e_waste,88,255,562,1002
497.jpeg,583,1280,e_waste,74,325,445,916
498.jpeg,583,1280,e_waste,62,190,539,984
499.jpeg,583,1280,e_waste,88,271,456,880
500.jpeg,583,1280,e_waste,58,239,509,884
501.jpeg,1280,583,e_waste,922,329,1132,554
501.jpeg,1280,583,e_waste,233,2,841,581
502.jpeg,1280,720,e_waste,194,202,977,571
503.jpeg,704,1280,e_waste,110,133,496,900
509.jpeg,1250,1280,e_waste,494,308,912,1047
510.jpeg,720,1280,e_waste,125,86,614,963
511.jpeg,720,1280,e_waste,127,192,574,1051
512.jpeg,720,1280,e_waste,186,237,498,882
513.jpg,1152,864,e_waste,36,189,1152,616
514.jpg,864,1152,e_waste,56,122,749,1140
515.jpg,864,1152,e_waste,67,63,799,919
516.jpg,4160,2340,e_waste,19,319,4078,1228
517.jpg,2340,4160,e_waste,6,547,2293,2980
518.jpg,2340,4160,e_waste,13,560,2286,2993
519.jpeg,780,1040,e_waste,182,142,637,998
520.jpeg,960,1280,e_waste,132,218,655,1182
526.jpeg,622,1280,e_waste,182,347,472,857
527.jpeg,864,1152,e_waste,135,224,592,1090
528.jpeg,622,1280,e_waste,204,510,447,947
530.jpeg,622,1280,e_waste,131,408,455,988
531.jpeg,1152,864,e_waste,85,251,1073,789
532.jpeg,622,1280,e_waste,176,441,461,953
533.jpeg,864,1152,e_waste,174,294,597,1071
534.jpeg,648,1152,e_waste,68,253,500,1076
535.jpeg,864,1152,e_waste,201,224,647,1078
536.jpeg,648,1152,e_waste,91,113,498,908
537.jpeg,960,1280,e_waste,145,198,657,1123
538.jpeg,960,1280,e_waste,259,349,694,1098
539.jpeg,1152,864,e_waste,89,207,1109,765
540.jpeg,2250,3390,e_waste,538,410,1717,2484
541.jpeg,864,1152,e_waste,254,292,656,1076
542.jpeg,581,1032,e_waste,54,291,546,967
543.jpeg,864,1152,e_waste,122,153,601,1040
544.jpeg,1032,581,e_waste,140,154,657,440
545.jpeg,864,1152,e_waste,24,324,413,1012
545.jpeg,864,1152,e_waste,465,335,808,972
546.jpeg,640,1280,e_waste,105,265,523,1000
547.jpeg,640,1280,e_waste,111,308,499,959
548.jpeg,640,1280,e_waste,19,171,587,1071
549.jpeg,640,1280,e_waste,30,174,538,929
550.jpg,2340,4160,e_waste,166,660,2166,3233
551.jpg,4160,2340,e_waste,41,201,3628,1097
552.jpg,4160,2340,e_waste,23,156,4160,1201
553.jpg,2340,4160,e_waste,20,307,2340,3633
554.jpg,2340,4160,e_waste,13,113,2340,3460
555.jpg,4160,2340,e_waste,23,88,4160,1151
556.jpg,4160,2340,e_waste,19,142,4160,1128
557.jpg,2340,4160,e_waste,6,393,2340,3100
558.jpg,2340,4160,e_waste,66,707,2186,3233
559.jpg,4160,2340,e_waste,191,201,4087,1128
560.jpg,4160,2340,e_waste,5,106,4160,1238
561.jpg,2340,4160,e_waste,33,80,2340,3100
562.jpg,2340,4160,e_waste,20,700,2340,3587
563.jpg,4160,2340,e_waste,164,247,3937,1288
564.jpg,4160,2340,e_waste,105,360,4160,1547
565.jpg,2340,4160,e_waste,93,820,2100,3413
566.jpg,2340,4160,e_waste,26,513,2206,3300
567.jpg,4160,2340,e_waste,10,165,3896,1269
568.jpg,4160,2340,e_waste,10,269,4160,1528
569.jpg,2340,4160,e_waste,13,413,2340,3827
570.jpg,2340,4160,e_waste,1,473,2340,2587
571.jpg,4160,2340,e_waste,110,138,3900,778
572.jpg,4160,2340,e_waste,5,247,3923,1151
573.jpg,2340,4160,e_waste,6,260,2340,2800
574.jpeg,1152,864,e_waste,336,287,1013,648
575.jpeg,864,1152,e_waste,272,194,742,1128
576.jpeg,864,1152,e_waste,192,324,638,1152
577.jpeg,864,1152,e_waste,215,58,785,1152
578.jpeg,864,1152,e_waste,252,92,727,1090
579.jpeg,1152,864,e_waste,96,191,1152,651
580.jpeg,1152,864,e_waste,125,159,1117,660
581.jpeg,1152,864,e_waste,224,75,881,368
581.jpeg,1152,864,e_waste,296,399,1152,864
582.jpeg,864,1152,e_waste,215,412,538,1078
583.jpeg,864,1152,e_waste,165,228,606,1099
584.jpeg,1152,864,e_waste,171,229,945,608
585.jpeg,1152,864,e_waste,269,233,1152,621
586.jpeg,1152,864,e_waste,117,163,1135,624
587.jpeg,1152,864,e_waste,208,177,1095,628
588.jpeg,1152,864,e_waste,11,208,1051,727
589.jpeg,1152,864,e_waste,232,200,1080,644
590.jpeg,1152,864,e_waste,313,197,971,551
591.jpeg,1152,864,e_waste,241,219,1059,684
592.jpeg,1152,864,e_waste,19,124,1023,647
593.jpeg,1152,864,e_waste,37,123,1116,691
594.jpeg,1152,864,e_waste,211,195,1152,589
595.jpeg,1152,864,e_waste,32,252,1032,679
596.jpeg,864,1152,e_waste,229,194,699,840
597.jpeg,864,1152,e_waste,2,478,864,1035
598.jpeg,864,1152,e_waste,135,121,674,1142
599.jpeg,768,1024,e_waste,1,3,741,1024
600.jpeg,780,1040,e_waste,143,240,438,844
601.jpeg,780,1040,e_waste,137,140,554,947
602.jpeg,1040,780,e_waste,81,145,905,567
603.jpeg,720,1280,e_waste,63,273,557,1041
604.jpeg,1280,720,e_waste,147,4,1135,720
605.jpeg,1254,1280,e_waste,32,53,1204,1276
606.jpeg,4000,3000,e_waste,649,142,3406,2175
607.jpeg,581,1032,e_waste,1,317,581,845
608.jpeg,581,1032,e_waste,15,274,581,677
608.jpeg,581,1032,e_waste,43,63,289,272
608.jpeg,581,1032,e_waste,346,64,540,240
609.jpeg,1032,581,e_waste,87,58,827,520
610.jpeg,1032,581,e_waste,154,51,987,581
611.jpeg,1032,581,e_waste,87,14,973,581
612.jpeg,1160,870,e_waste,1,26,1145,792
613.jpeg,777,876,e_waste,10,223,694,874
614.jpg,3856,3856,e_waste,12,390,3856,3465
615.jpg,3496,3496,e_waste,1,31,3496,3496
616.jpeg,864,1152,e_waste,2,197,864,974
617.jpeg,648,1152,e_waste,5,1,648,1152
618.jpeg,1152,864,e_waste,23,45,1123,744
619.jpeg,1152,864,e_waste,59,71,1121,773
620.jpeg,1152,864,e_waste,7,59,1152,841
621.jpeg,1152,864,e_waste,53,1,1097,864
622.jpeg,1280,640,e_waste,39,4,817,640
623.jpeg,1280,640,e_waste,40,2,967,583
623.jpeg,1280,640,e_waste,2,571,844,640
624.jpeg,1152,864,e_waste,76,99,1104,829
625.jpeg,1152,864,e_waste,189,169,1081,807
626.jpeg,1152,864,e_waste,168,12,1152,864
627(1).jpeg,1152,864,e_waste,36,153,1116,835
627.jpeg,1152,864,e_waste,45,152,1120,837
628.jpeg,1152,864,e_waste,176,240,1061,864
629.jpeg,1152,864,e_waste,192,265,1152,855
630.jpeg,1152,864,e_waste,27,83,1147,864
631.jpeg,1152,864,e_waste,105,85,1152,864
632.jpeg,1152,864,e_waste,79,180,1152,864
633.jpeg,1152,864,e_waste,193,60,1091,745
634.jpeg,1152,864,e_waste,1,213,449,613
634.jpeg,1152,864,e_waste,664,245,1152,641
637.jpeg,1152,864,e_waste,136,111,1152,864
751.jpeg,1152,864,e_waste,213,137,1073,693
752.jpeg,786,1280,e_waste,156,376,651,1102
753.jpg,3456,4608,e_waste,1009,1289,2859,4061
754.jpeg,780,1040,e_waste,167,439,519,987
755.jpg,2340,4160,e_waste,246,200,2080,2387
756.jpg,2340,4160,e_waste,260,1167,1720,2927
757.jpg,4160,2340,e_waste,1260,151,3037,1647
758.jpg,2340,4160,e_waste,526,767,1566,2247
759.jpg,2340,4160,e_waste,740,1367,1893,2940
760.jpeg,720,1280,e_waste,229,339,518,794
761.jpeg,1040,780,e_waste,387,197,803,466
762.jpeg,780,1040,e_waste,109,400,372,784
763.jpeg,1040,780,e_waste,308,203,901,588
764.jpeg,721,1280,e_waste,178,343,525,867
765.jpeg,1280,720,e_waste,154,56,972,642
766.jpeg,720,1280,e_waste,157,284,586,994
767.jpeg,648,1152,e_waste,141,478,387,837
768.jpeg,648,1152,e_waste,119,392,410,728
769.jpg,4160,3120,e_waste,1047,1080,2442,2875
770.jpeg,648,1152,e_waste,323,401,596,751
771.jpeg,648,1152,e_waste,105,394,512,749
772.jpeg,583,1280,e_waste,164,412,486,920
773.jpeg,583,1280,e_waste,174,343,498,829
774.jpeg,583,1280,e_waste,131,349,427,786
775.jpeg,583,1280,e_waste,133,357,415,773
776.jpeg,583,1280,e_waste,139,410,403,800
777.jpeg,1280,960,e_waste,239,87,540,474
778.jpeg,870,1160,e_waste,125,301,830,1014
779.jpeg,780,1040,e_waste,32,432,432,1024
780.jpeg,1280,720,e_waste,385,372,578,680
781.jpeg,1280,720,e_waste,399,183,1018,576
782.jpeg,780,1040,e_waste,195,321,558,831
783.jpeg,780,1040,e_waste,143,360,598,1010
784.jpeg,648,1152,e_waste,39,413,291,674
784.jpeg,648,1152,e_waste,394,479,610,712
785.jpeg,864,1152,e_waste,263,444,618,1026
786.jpeg,864,1152,e_waste,163,440,601,1003
787.jpeg,1280,960,e_waste,251,240,1167,775
788.jpeg,4000,3000,e_waste,1278,709,2830,2632
789.jpg,2176,4608,e_waste,391,1447,1791,3504
790.jpg,2176,4608,e_waste,562,1161,1919,3268
791.jpg,4608,2176,e_waste,941,258,3546,2033
792.jpeg,1032,581,e_waste,242,243,453,574
792.jpeg,1032,581,e_waste,617,204,822,527
793.jpeg,581,1032,e_waste,75,461,310,871
794.jpeg,1032,581,e_waste,208,94,872,467
795.jpeg,1280,640,e_waste,362,214,780,442
796.jpeg,1032,581,e_waste,200,155,752,460
797.jpeg,581,1032,e_waste,85,315,462,866
798.jpeg,581,1032,e_waste,24,223,313,688
798.jpeg,581,1032,e_waste,280,209,556,658
799.jpeg,640,1280,e_waste,121,290,499,843
800.jpeg,1152,864,e_waste,373,299,836,597
801.jpeg,1152,864,e_waste,383,272,997,584
802.jpeg,1152,864,e_waste,456,280,996,585
803.jpeg,1152,864,e_waste,325,177,1060,580
807.jpeg,864,1152,e_waste,220,331,617,937
808.jpeg,1152,864,e_waste,475,299,769,479
809.jpeg,864,1152,e_waste,318,328,640,885
810.jpeg,864,1152,e_waste,102,74,761,1152
811.jpeg,1152,864,e_waste,415,225,1017,612
812.jpeg,864,1152,e_waste,183,104,624,872
813.jpeg,1152,864,e_waste,320,221,1136,688
814.jpeg,864,1152,e_waste,217,246,722,1088
815.jpeg,1152,864,e_waste,301,260,829,595
816.jpeg,720,1280,e_waste,200,494,529,1082
901.jpeg,1280,720,e_waste,111,34,1178,701
902.jpeg,1280,721,e_waste,146,50,1050,721
903.jpeg,1280,720,e_waste,14,4,1280,720
Copy of IMG_20200328_131938.jpg,4608,3456,e_waste,1006,55,4608,2655
Copy of IMG_20200328_132109.jpg,4608,3456,e_waste,1034,733,4284,3456
Copy of IMG_20200328_132116.jpg,4608,3456,e_waste,556,511,4608,3456
Copy of IMG_20200328_132119.jpg,4608,3456,e_waste,12,228,3706,3067
Copy of IMG_20200328_132120.jpg,4608,3456,e_waste,12,478,3728,3361
Copy of IMG_20200328_132120.jpg,4608,3456,e_waste,3623,2561,4608,3194
Copy of IMG_20200328_132124.jpg,3456,4608,e_waste,24,1325,3395,4608
Copy of IMG_20200328_132129.jpg,3456,4608,e_waste,45,1018,3456,3654
Copy of IMG_20200328_132129.jpg,3456,4608,e_waste,24,3589,817,4608
Copy of IMG_20200328_132131.jpg,3456,4608,e_waste,45,1032,3452,3268
Copy of IMG_20200328_132131.jpg,3456,4608,e_waste,31,3168,1159,4189
Copy of IMG_20200328_132135.jpg,3456,4608,e_waste,2,1282,3456,4382
Copy of IMG_20200328_132149.jpg,4608,3456,e_waste,1,322,4608,3456
Copy of IMG_20200328_132151.jpg,4608,3456,e_waste,6,305,3867,2917
Copy of IMG_20200328_132151.jpg,4608,3456,e_waste,3778,2128,4608,2850
Copy of IMG_20200328_132156.jpg,4608,3456,e_waste,23,44,3906,3433
Copy of IMG_20200328_132156.jpg,4608,3456,e_waste,3534,2578,4362,3205
Copy of IMG_20200328_134825.jpg,4608,3456,e_waste,200,817,3373,2278
Copy of IMG_20200328_134847.jpg,4608,3456,e_waste,50,522,4100,1794
Copy of IMG_20200328_134852.jpg,3456,4608,e_waste,574,1404,3174,4608
Copy of IMG_20200328_134903.jpg,4608,3456,e_waste,539,900,4234,2494
Copy of IMG_20200328_134906.jpg,4608,3456,e_waste,1084,1044,4245,2455
Copy of IMG_20200328_135222.jpg,3456,4608,e_waste,738,547,2688,3968
Copy of IMG_20200328_135224.jpg,3456,4608,e_waste,1288,1111,2874,3775
Copy of IMG_20200328_135230.jpg,3456,4608,e_waste,631,854,2509,4147
Copy of IMG_20200328_135237.jpg,4608,3456,e_waste,239,917,4608,3083
Copy of IMG_20200328_135240.jpg,4608,3456,e_waste,6,1450,4150,3072
Copy of IMG_20200328_135302.jpg,4608,3456,e_waste,150,328,4278,2433
Copy of IMG_20200328_135306.jpg,4608,3456,e_waste,189,428,4139,2428
Copy of IMG_20200328_135312.jpg,4608,3456,e_waste,6,1039,3834,2794
Copy of IMG_20200328_135435.jpg,3456,4608,e_waste,1238,554,2774,3725
Copy of IMG_20200328_135457.jpg,3456,4608,e_waste,452,268,2652,4454
Copy of IMG_20200328_135503.jpg,4608,3456,e_waste,1,633,4606,2328
Copy of IMG_20200328_135507.jpg,4608,3456,e_waste,378,1122,4608,2594
Copy of IMG_20200328_135512.jpg,4608,3456,e_waste,12,900,4608,2555
Copy of IMG_20200328_140053.jpg,3456,4608,e_waste,838,818,2424,3954
Copy of IMG_20200328_140056.jpg,4608,3456,e_waste,428,811,4608,2833
Copy of IMG_20200328_140104.jpg,4608,3456,e_waste,1039,350,4339,1733
Copy of IMG_20200328_140104.jpg,4608,3456,e_waste,389,1867,4608,3456
Copy of IMG_20200328_140104.jpg,4608,3456,e_waste,12,11,1039,1178
Copy of IMG_20200328_140107.jpg,4608,3456,e_waste,295,5,1462,811
Copy of IMG_20200328_140107.jpg,4608,3456,e_waste,1784,528,4534,1872
Copy of IMG_20200328_140107.jpg,4608,3456,e_waste,1717,2128,4389,3455
Copy of IMG_20200328_140109.jpg,4608,3456,e_waste,1606,405,4195,1544
